Religion or spiritual tradition,Religion or spiritual tradition (other),Gender Identity,Gender Identity (not listed in survey),Race/Ethnicity**,Financial need level,Class Year Categories,School,1st Generation College,Federally Reported Race/Ethnicity,Sex,Have you ever sought any services provided by CAPS?,For which of the following reasons have you not sought services provided by CAPS?**,"Agreement with: ""I avoid consultations with CAPS because I am worried what I tell them might lead to negative academic repercussions""",For which of the following purposes would you feel comfortable utilizing CAPS?**,Which of the following CAPS services have you used?**,What was the outcome of your treatment at CAPS?,What was the outcome of your treatment at CAPS? (other),How many times did you visit CAPS?,In what school year(s) have you used or attempted to use CAPS?**,"Agreement with: ""CAPS was beneficial to my mental health""",Why did CAPS not have a beneficial effect on your mental health?**,Have you ever contacted the CAPS crisis support line?,You indicated that you have not contacted the CAPS crisis support line. Why?,You indicated that you have not contacted the CAPS crisis support line. Why? (other),Have you used the virtual support service TimelyCare?,"Agreement with: ""TimelyCare was beneficial for my mental health""","Agreement with: ""CAPS is committed to providing good quality treatment to students, regardless of their identity""","Agreement with: ""CAPS has the resources necessary to treat students of marginalized identities""","Agreement with: ""CAPS does their best to treat students of marginalized identities""",Which of the following sources have influenced your opinion about CAPS?**,"Which of the following resources, excluding CAPS, would you turn to if you were struggling with mental health?**","Which of the following are mental health and intervention offerings by Northwestern that you are aware of, if any?**","Which of the following would you consider to be your main source of community, support, and well-being?","Agreement with: ""I have been able to access meaningful mental health services provided to me by Northwestern""",Have you ever experienced a mental health issue that has impacted your academic performance at NU?,"Have you ever considered taking a medical leave of absence (""MLOA"") at Northwestern for mental health purposes?","Why did you not take a medical leave of absence (""MLOA"")? (if ""considered taking MLOA"" was selected)**",Which of the following identities best describes you?,"Agreement with: ""I feel comfortable expressing my religious or spiritual identity on campus""",In which of the following settings do you not feel comfortable expressing your religious or spiritual identity?**,"Agreement with: ""My professors treat my religion or spirituality with respect""","Agreement with: ""I have a space on campus where I can adequately practice my religion or spirituality""","Agreement with: ""I receive the academic accommodations that I need to account for my religious or spiritual restrictions""",What resources provided by Religious and Spiritual Life (RSL) are you aware of?**,"Agreement with: ""I would use a confidential conversation with a university chaplain for support""",Why would you not use a confidential conversation with a chaplain for support?**,"Agreement with: ""I would be more likely to consult with a university chaplain if they came from a secular background""",Do you identify as a first-generation student?,Do you identify as a low-income student?,"Agreement with: ""I feel supported by Student Enrichment Services (SES)""","Agreement with: ""I feel I have found a community on campus where I belong""","Agreement with: ""I feel like I am treated equally in the classroom, regardless of my socio-economic background""",Do you currently work a job on or off campus?,Hours per week you dedicate to non-paying student organizations,"Agreement with: ""Cost is something I consider when registering for classes""","Agreement with: ""I have financially struggled to purchase required books for classes""","Agreement with: ""I have financially struggled to purchase required technology for classes""",In what years during your time at Northwestern have you struggled financially to purchase required course materials?**
No answer,No answer,Cisgender man,No answer,"Asian (Examples: Chinese, Japanese, Filipino, Korean, South Asian, Vietnamese)",Not High Need 4+,Fifth Year +,School of Engineering,Not 1st Generation,International,Male,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,"Appointment at CAPS,Virtual appointment through TimelyCare",Student organization,Neither agree or disagree,No,"No, I have never considered taking a medical leave of absence.",No answer,I am neither religious nor spiritual,No answer,No answer,No answer,No answer,No answer,"Weekly religious services,Drop-in meditation",Somewhat disagree,None of the chaplains reflect my identity,Neither agree nor disagree,No,No,No answer,Neither agree nor disagree,No answer,"Yes, one",Between 6-10 hours,Strongly disagree,Strongly disagree,Strongly disagree,No answer
Presbyterian,No answer,Cisgender man,No answer,"White (Examples: German, Irish, English, Italian, Polish, French)",Not High Need 4+,Fourth Year,Weinberg College of Arts & Sci,Not 1st Generation,White,Male,Yes,No answer,Neither agree nor disagree,No answer,External referral to non-CAPS provider,The wait time for an initial consultation was too long so I did not follow through with the services.,No answer,No answer,2019-2020,Strongly disagree,"The wait was too long for me to follow through and receive help.,They wouldn’t see me and just referred me away",No,I have not needed to,No answer,"No, unaware of this service",No answer,Strongly disagree,Somewhat disagree,Neither agree nor disagree,"Personal experience with CAPS,Friends,Student advocacy groups (e.g. Reform CAPS),Social media and online platforms,Student publications,Peer advisors and student mentors","Student organizations,Friends,Family,Faculty or academic advisors","Drop-In Hours at the Women's Center,Appointment at CAPS","Friend Group,Family,Student organization",Strongly disagree,Yes,"Yes, although I did not take one.","I decided it was no longer necessary,I do not want to be distanced from my community at Northwestern",I am spiritual,Somewhat agree,No answer,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,"Weekly religious services,Drop-in meditation,Alice Millar Chapel Choir concerts,Confidential chaplain consultations",Somewhat agree,No answer,No answer,No,No,No answer,Strongly agree,No answer,No,Between 11-15 hours,Strongly agree,Strongly agree,Strongly agree,"First year,Second year,Third year,Fourth year"
Agnostic,No answer,Cisgender man,No answer,"Black or African-American (Examples: Jamaican, Nigerian, Haitian, Ethiopian),White (Examples: German, Irish, English, Italian, Polish, French)",High Need 4+,Fifth Year +,School of Engineering,First Generation College,Two or More Races,Male,Yes,No answer,Somewhat agree,"Help transitioning to Northwestern,Help navigating my identity,Receiving a preliminary diagnosis,Counseling on a Medical Leave of Absence","External referral to non-CAPS provider,Crisis consultation",I met with someone at CAPS and then was referred to an outside care person.,No answer,Four to six times,"2018-2019,2020-2021,2021-2022,2022-2023",Neither agree nor disagree,No answer,No,No answer,"Both the ""transported to the hospital"", and ""compelled to take a medical leave""",No,No answer,Strongly agree,Strongly disagree,Strongly agree,"Personal experience with CAPS,Friends","Friends,Family,Therapist","Soldari-tea,Active Minds,Appointment at CAPS","Friend Group,Research Lab",Somewhat agree,Yes,"Yes, and I have taken one.",No answer,I am neither religious nor spiritual,No answer,No answer,No answer,No answer,No answer,No answer,Neither agree nor disagree,No answer,No answer,Yes,Yes,Somewhat agree,Strongly disagree,Somewhat disagree,"Yes, one",Between 16-20 hours,Somewhat disagree,Strongly agree,Strongly agree,"First year,Second year"
Protestant (non-denominational),No answer,Cisgender woman,No answer,"Asian (Examples: Chinese, Japanese, Filipino, Korean, South Asian, Vietnamese)",Not High Need 4+,Fourth Year,Weinberg College of Arts & Sci,Not 1st Generation,Asian/Pacific Islander,Female,Yes,No answer,Somewhat disagree,Counseling on a Medical Leave of Absence,"External referral to non-CAPS provider,Individual therapy at CAPS",I met with someone at CAPS and then was referred to an outside care person.,No answer,Four to six times,"2018-2019,2019-2020",Somewhat agree,No answer,No,I have not needed to,No answer,No,No answer,Somewhat agree,Somewhat disagree,Somewhat agree,"Personal experience with CAPS,Friends,Student advocacy groups (e.g. Reform CAPS)","Friends,Family","Active Minds,ResilientNU,Appointment at CAPS","Friend Group,Family",Strongly agree,Yes,"Yes, and I have taken one.",No answer,I am spiritual,Strongly agree,No answer,Strongly agree,Strongly agree,Strongly agree,No answer,Strongly disagree,"I have other sources of support,I generally avoid religious institutions,I did not know chaplain services existed at Northwestern",Neither agree nor disagree,No,No,No answer,Somewhat agree,No answer,"Yes, more than one",Between 6-10 hours,Somewhat disagree,Strongly disagree,Strongly disagree,No answer
Christian (non-denominational),No answer,Cisgender man,No answer,"Asian (Examples: Chinese, Japanese, Filipino, Korean, South Asian, Vietnamese)",Not High Need 4+,Third Year,School of Communication,Not 1st Generation,Asian/Pacific Islander,Male,No,Haven't needed any CAPS services,Neither agree nor disagree,"Coping with academic-related stress,Help navigating my identity",No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No,No answer,Somewhat agree,Somewhat agree,Somewhat agree,"Friends,Social media and online platforms,Student publications","Friends,Family,Resident Assistants","Let's Talk,Virtual appointment through TimelyCare","Friend Group,Family,Dorm/neighborhood,Student organization,Sports team",Somewhat agree,No,"No, I have never considered taking a medical leave of absence.",No answer,I am neither religious nor spiritual,No answer,No answer,No answer,No answer,No answer,Drop-in meditation,Neither agree nor disagree,No answer,No answer,No,No,No answer,Somewhat agree,No answer,"Yes, one",Between 1-5 hours,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,No answer
Protestant (non-denominational),No answer,Cisgender woman,No answer,"Asian (Examples: Chinese, Japanese, Filipino, Korean, South Asian, Vietnamese)",High Need 4+,Fifth Year +,Bienen School of Music,Not 1st Generation,Asian/Pacific Islander,Female,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,"Friends,Family","Drop-In Hours at the Women's Center,Drop-In Hours at CARE,Appointment at CAPS","Friend Group,Family,Church community",Neither agree or disagree,Yes,"No, I have never considered taking a medical leave of absence.",No answer,I am religious,Strongly agree,No answer,Somewhat agree,Strongly agree,Neither agree nor disagree,Drop-in meditation,Neither agree nor disagree,No answer,No answer,Yes,No,Strongly agree,Somewhat agree,Strongly agree,"Yes, one",Between 6-10 hours,Strongly disagree,Strongly disagree,Somewhat disagree,No answer
Catholic,No answer,Cisgender woman,No answer,"Hispanic or Latino (Examples: Puerto Rican, Mexican, Cuban, Salvadoran, Colombian)",Not High Need 4+,Third Year,Weinberg College of Arts & Sci,First Generation College,Hispanic,Female,No,"I am worried the wait time will be too long,I don't think CAPS has staff who can treat me,I don't have time",Strongly disagree,"Emergency mental health care,Counseling on a Medical Leave of Absence",No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,"No, unaware of this service",No answer,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,"Friends,Student advocacy groups (e.g. Reform CAPS),Social media and online platforms","Friends,Family,Faculty or academic advisors",Appointment at CAPS,"Friend Group,Family,Student organization",Somewhat disagree,Yes,"No, I have never considered taking a medical leave of absence.",No answer,I am neither religious nor spiritual,No answer,No answer,No answer,No answer,No answer,No answer,Strongly disagree,"I have other sources of support,I generally avoid religious institutions,I did not know chaplain services existed at Northwestern",Strongly disagree,Yes,No,Somewhat agree,Somewhat agree,Somewhat disagree,"Yes, more than one",Between 1-5 hours,Somewhat agree,Somewhat agree,Strongly disagree,"First year,Second year"
Catholic,No answer,Cisgender woman,No answer,"Black or African-American (Examples: Jamaican, Nigerian, Haitian, Ethiopian)",Not High Need 4+,Fourth Year,School of Journalism,Not 1st Generation,Black or African American,Female,Yes,No answer,Neither agree nor disagree,No answer,External referral to non-CAPS provider,Other,didnt like therapist i was referred to,Once,2019-2020,Unable to judge,No answer,No,I have not needed to,No answer,No,No answer,Strongly disagree,Strongly disagree,Strongly disagree,"Personal experience with CAPS,Friends,Student advocacy groups (e.g. Reform CAPS),Social media and online platforms,Student publications,Peer advisors and student mentors,literally walking around this campus","Family,therapist","Drop-In Hours at the Women's Center,Drop-In Hours at CARE,NU Peer Support Group,Active Minds,ResilientNU,Appointment at CAPS","Friend Group,Family,Academic Cohort (people in your major, PA group, Peer-Guided Study group),Student organization",Strongly disagree,No,"No, I have never considered taking a medical leave of absence.",No answer,I am spiritual,Neither agree nor disagree,No answer,Somewhat agree,Somewhat disagree,Somewhat agree,"Weekly religious services,Drop-in meditation,Alice Millar Chapel Choir concerts",Strongly disagree,"I have other sources of support,I don't trust that the conversation would be truly confidential,I generally avoid religious institutions,I did not know chaplain services existed at Northwestern",Somewhat disagree,No,No,No answer,Somewhat agree,No answer,"Yes, more than one",Between 6-10 hours,Somewhat disagree,Somewhat agree,Somewhat disagree,"First year,Second year"
Agnostic,No answer,Cisgender woman,No answer,"Asian (Examples: Chinese, Japanese, Filipino, Korean, South Asian, Vietnamese)",Not High Need 4+,Fourth Year,School of Communication,Not 1st Generation,Asian/Pacific Islander,Female,No,"I am worried the wait time will be too long,I don't think CAPS has staff who can treat me,I don't have time",Neither agree nor disagree,"Coping with academic-related stress,Help transitioning to Northwestern",No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No,No answer,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,"Friends,Student advocacy groups (e.g. Reform CAPS)","Student organizations,On-campus affinity spaces (e.g. Black House, GSRC, Women's Center),Friends,Family",Let's Talk,"Friend Group,Family",Somewhat disagree,No,"No, I have never considered taking a medical leave of absence.",No answer,I am neither religious nor spiritual,No answer,No answer,No answer,No answer,No answer,Alice Millar Chapel Choir concerts,Strongly disagree,I generally avoid religious institutions,Neither agree nor disagree,No,No,No answer,Somewhat agree,No answer,No,Less than 1 hour,Somewhat agree,Strongly disagree,Strongly disagree,No answer
Jewish,No answer,Cisgender woman,No answer,"White (Examples: German, Irish, English, Italian, Polish, French)",Not High Need 4+,Fourth Year,School of Journalism,Not 1st Generation,White,Female,Yes,No answer,Strongly disagree,"Coping with academic-related stress,Help with interpersonal relationships,Emergency mental health care,Counseling on a Medical Leave of Absence","External referral to non-CAPS provider,Crisis consultation,Individual therapy at CAPS",I met with someone at CAPS and then was referred to an outside care person.,No answer,Four to six times,2021-2022,Strongly agree,No answer,No,I have not needed to,No answer,No,No answer,Strongly agree,Somewhat agree,Strongly agree,"Personal experience with CAPS,Peer advisors and student mentors","CARE,Friends,Family,Outside therapist","Appointment at CAPS,Virtual appointment through TimelyCare","Friend Group,Family,Student organization",Somewhat agree,No,"No, I have never considered taking a medical leave of absence.",No answer,I am neither religious nor spiritual,No answer,No answer,No answer,No answer,No answer,No answer,Strongly disagree,"None of the chaplains reflect my identity,I have other sources of support,I did not know chaplain services existed at Northwestern",Somewhat agree,No,No,No answer,Strongly agree,No answer,No,Between 16-20 hours,Strongly disagree,Strongly disagree,Strongly disagree,No answer
Agnostic,No answer,Cisgender woman,No answer,"White (Examples: German, Irish, English, Italian, Polish, French)",Not High Need 4+,Fourth Year,Weinberg College of Arts & Sci,Not 1st Generation,White,Female,No,"I am worried the wait time will be too long,I have an external provider for mental and psychological health",Strongly disagree,"Emergency mental health care,Receiving a preliminary diagnosis,Counseling on a Medical Leave of Absence",No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,Yes,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,"Student publications,Peer advisors and student mentors","Friends,Family,Faculty or academic advisors","Drop-In Hours at the Women's Center,Appointment at CAPS","Friend Group,Family",Unable to judge,Yes,"Yes, although I did not take one.",I decided it was no longer necessary,I am neither religious nor spiritual,No answer,No answer,No answer,No answer,No answer,"Weekly religious services,Alice Millar Chapel Choir concerts",Strongly disagree,I generally avoid religious institutions,Neither agree nor disagree,No,No,No answer,Strongly agree,No answer,No,Between 1-5 hours,Somewhat agree,Strongly disagree,Somewhat agree,No answer
