Academic year,Transfer student?,School(s) at Northwestern,Residence,Gender Identity,Gender Identity (not listed in survey),Race/Ethnicity,"Race/Ethnicity (if ""Multiracial"" was selected)",Member of the LGBTQ+ community?,Receive need-based financial aid from Northwestern?,International student?,First-generation college student?,Identify as a low-income student?,"Agreement with: ""I feel that there is sufficient space for LGBTQ+ students on campus""","Agreeement with: ""I feel that there is sufficient space for LGBTQ+ student organizations on campus""",I feel that increasing the number of gender-neutral bathrooms on campus is...,I feel that increasing the amount of gender-open housing on campus is...,Importance level: Improving mental health services available on campus,Importance level: University provided free or reduced Adobe software downloadable for students,Importance level: Increasing access to free contraceptives,Importance level: Increasing CARE's budget to help pay community partners to facilitate trainings and presentations for SHAPE,Importance level: Increasing the number of paid employees at CARE,Importance level: Increasing support for diversity and inclusion initiatives at Northwestern such as the Inclusion NU Fund,Importance level: Providing increased transportation options to Chicago (such as subsidized CTA passes),"Importance level: Expanding the Student Internship Grant Program to $3,500 per grant","Importance level: Providing university-sponsored, late-night activities where alcohol is not served",Importance level: Improving off-campus street lighting and increasing the number of blue light stations.,"Importance level: Improving Safe Ride (extended hours, additional drivers, increased pay, etc)","Importance level: Improving the Northwestern shuttle system (Intercampus, Campus Loop, etc)",Importance level: Constructing or designating additional gender neutral bathrooms around campus,Importance level: Designating a permanent space to low-income or first-generation identifying students,Importance level: Providing practice and rehearsal spaces for student groups and other musicians not in Bienen,Importance level: Improving air conditioning in dorms,Importance level: Improving air conditioning in non-residence buildings,Importance level: Constructing additional bike racks on campus,"Agreement with: ""I have never felt marginalized at NU""","Identities due to which you feel you have been marginalized (if ""Experience marginalization at NU"" was selected)","Settings in which you have experienced marginalization at Northwestern (if ""Experience marginalization at NU"" was selected)",Have you ever experienced a mental or physical health issue that has impacted your academic performance at NU?,Have you ever sought the services provided by CAPS?,"What was the outcome of your treatment at CAPS? (if ""sought the services provided by CAPS"" was selected)","Agreement with: ""CAPS met or exceeded my expectations"" (if ""sought the services provided by CAPS"" was selected)","Agreement with: ""CAPS was beneficial to my mental health"" (if ""sought the services provided by CAPS"" was selected)","Agreement with: ""I would be comfortable talking to a confidential peer listener"" (if ""sought the services provided by CAPS"" was selected)","Agreement with: ""I would prefer group therapy meetings to one-on-one appointments"" (if ""sought the services provided by CAPS"" was selected)","Why did CAPS not have a beneficial effect on your mental health? (if ""sought the services provided by CAPS"" was selected)","Have you ever experienced a health crisis (e.g. hospital visit, CAPS crisis appointment) and completed an academic exam in the same week?","Do you have an ongoing, diagnosed, clinical health issue?","Are you registered with AccessibleNU? (if  ""diagnosed, clinical health issue"" was selected)",Are you familiar with the services provided by the Office of Equity at Northwestern?,"How you learned about the Office of Equity (if ""familiar with Office of Equity"" was selected)","Agreement with: ""WCAS's 45 units of credit for graduation requirement has NOT limited my ability to care for my mental well-being""","Agreement with: ""I would prefer to start school earlier in order to finish school earlier""","Agreement with: ""The June end-date has prevented me from getting my preferred internship or job""","Agreement with: ""I have never felt the need for a low-income or first-generation student designated space on campus"" (if ""first-gen"" or ""low-income"")","Agreement with: ""The university provides the necessary resources that allow me to partake in any academic pursuits"" (if ""first-gen"" or ""low-income"")","Agreement with: ""The university provides financial resources for me to partake in extracurricular activities"" (if ""first-gen"" or ""low-income"")","Agreement with: ""Northwestern's career advising services for international students is helpful and comprehensive"" (if ""international student"")","Agreement with: ""I am aware of the documentation required to find a job in the United States after graduation"" (if ""international student"")","Agreement with: ""Northwestern has provided support for finding required documents needed to be employed in the U.S."" (if ""international student"")","Agreement with: ""I would like CTECs to have a space to evaluate the inclusivity of the class environment created by the professor""","Agreement with: ""I would like to write an evaluation for classes I've dropped""","Agreement with: ""It would be helpful to read course evaluations from students who have dropped a class that I'm interested in""","Agreement with: ""I would like to be able to see the grade distribution of classes that I'm interested in""","Agreement with: ""I have been prevented from taking a class/academic activity for financial reasons""","Agreement with: ""I have the necessary resources to interview at companies that I'm interested in""","Agreement with: ""I have never financially struggled to purchase required academic software""","Agreement with: ""There are a sufficient number of spaces for students to meet and work on campus""","Agreement with: ""There are a sufficient number of spaces for student GROUPS to meet and work on campus""","Agreement with: ""It's important for Northwestern to continue to bring  peakers as a part of the Contemporary Thought Speaker Series""",Do you currently hold a paying job either on or off campus? ,"Is your job, or one of your jobs, a work-study position?",Do you currently hold more than one paying job?,"How many paying jobs do you currently hold? (if ""I hold more than 1 paid position"" was selected)","Agreement with: ""I work to help pay for my college education, whether that be tuition, books, or housing"" (if ""I have a paying job"" was selected)","Agreement with: ""I work to help pay for non-academic living essentials (food, clothing, etc.)"" (if ""I have a paying job"" was selected)","Agreement with: ""I work to have non-essential money"" (if ""I have a paying job"" was selected)","Agreement with: ""I work to advance my future career"" (if ""I have a paying job"" was selected)","Agreement with: ""I work because I'm interested in the work I'm doing"" (if ""I have a paying job"" was selected)","Agreement with: ""I receive paid work as part of an internship program for which I receive academic credit for"" (if ""I have a paying job"" was selected)","Agreement with: ""I have never had to turn down a leadership position in a student organization due to work obligations""","Agreement with: ""I am heavily involved in one or more student organizations""","Hours per week you dedicate to the organizations that you are heavily involved with (if ""involved in a student organization"" was selected)",Do you hold a leadership position in any of the organizations that you are involved with?,"Have you ever been or are you currently a student group financial officer (e.g. President, Treasurer, Finance Director)?",Are you SOFO trained?,"On average, how many times per quarter do you interact with the SOFO office?","Agreement with: ""I am satisfied with the SOFO processes and the general reimbursement process""","Satisfaction rating (in terms of SOFO and student finance organizations): Gathering signatures from the president, advisor(s), and group executive",Satisfaction rating (in terms of SOFO and student finance organizations): Collecting receipts with the necessary expense information,Satisfaction rating (in terms of SOFO and student finance organizations): Interacting with SOFO at the Norris window,Importance level of potential change to SOFO: Creating digital vouchers with option for all parties to sign electronically,Importance level of potential change to SOFO: Adding the option to digitally upload receipts,Importance level of potential change to SOFO: Creating an instant online reimbursement process to a bank or checking account,Importance level of potential change to SOFO: Creating a SOFO training for general student org members,Importance level of potential change to SOFO: Creating a canvas course for SOFO training that you could refer back to,Importance level of potential change to SOFO: Mandatory SOFO training for advisors,"Agreement with: ""I would have lived on campus this year regardless of the new two-year live-on requirement"" (if ""second-year"")","Agreement with: ""Living off-campus has saved me money"" (if ""living off campus"" was selected)","Agreement with: ""Living off-campus did not impact my financial aid."" (if ""off-campus"" and ""need-based financial aid"" were selected)","Agreement with: ""I am satisfied with the dining services on campus""","Agreement with ""I am satisfied with the new dining services on campus""","Agreement with: ""I am satisfied with my unlimited meal plan""","If given the option, which meal plan would you have picked? (if ""dissatisfied with meal plan"" was selected)",Do you own a smartphone?,Do you ride a bike on campus?,Did you vote in the 2018 Midterm Election?,Are you currently a member of Greek life?,"Agreement with: ""I would recommend Northwestern to a younger sibling or friend"""
First year,No,Weinberg,On Campus Residential Community,Woman,No answer,Multi-racial or Multi-ethnic,"White,Asian",Yes,Yes,No,No,No,Neither agree nor disagree,Neither agree nor disagree,Very important,Important,Very important,Very important,Unimportant,Important,Important,Important,Neither important nor unimportant,Important,Important,Very important,Very important,Very important,Important,Important,Neither important nor unimportant,Important,Important,Neither important nor unimportant,Strongly Agree,No answer,No answer,No,No,No answer,No answer,No answer,No answer,No answer,No answer,No,No,No answer,No,No answer,Agree,Agree,Unable to Judge,No answer,No answer,No answer,No answer,No answer,No answer,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,No,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,Agree,Between 1-5 hours,No,No,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,Agree,No answer,No answer,No answer,Yes,No,"No, not eligible",No,Strongly Agree
Third year,No,McCormick,Off Campus,Not listed,Apache Attack Helicopter,Multi-racial or Multi-ethnic,Other,No,Yes,No,No,Prefer not to answer,No answer,No answer,Not at all important,Not at all important,Very important,Not at all important,Important,Important,Important,Not at all important,Very important,Unimportant,Not at all important,Important,Important,Important,Not at all important,Not at all important,Not at all important,Neither important nor unimportant,Neither important nor unimportant,Not at all important,Strongly Agree,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,Strongly Agree,Neither agree nor disagree,No answer,No answer,No answer,No answer,No answer,No answer,Strongly disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Yes,Yes,No,No answer,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Disagree,Strongly Agree,Between 15-20 hours,Yes,Yes,Yes,Between 5-10 per quarter,Strongly disagree,Strongly dissatisfied,Strongly dissatisfied,Strongly dissatisfied,Very Important,Very Important,Very Important,Neither important nor unimportant,Unimportant,Unimportant,No answer,Strongly agree,Neither agree nor disagree,No answer,No answer,No answer,No answer,Yes,Yes,Yes,No,Strongly Agree
Fourth year,No,"Weinberg,SESP",Off Campus,Woman,No answer,White,No answer,No,Yes,No,No,No,No answer,No answer,Important,Important,Important,Neither important nor unimportant,Important,Not at all important,Unimportant,Unimportant,Very important,Unimportant,Unimportant,Important,Important,Not at all important,Important,Unable to judge,Neither important nor unimportant,Important,Neither important nor unimportant,Important,Strongly Agree,No answer,No answer,No,No,No answer,No answer,No answer,No answer,No answer,No answer,No,No,No answer,Yes,"I heard about their services through word of mouth.,I became familiar with their services by necessity of a situation.",Strongly Agree,Neither agree nor disagree,Disagree,No answer,No answer,No answer,No answer,No answer,No answer,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,Strongly disagree,Agree,Agree,Strongly agree,Agree,Agree,Yes,Yes,Yes,2,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Between 15-20 hours,Yes,No,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,Strongly agree,Strongly agree,No answer,No answer,No answer,No answer,Yes,No,Yes,No,Strongly Agree
Second year,No,Medill,On Campus Residential College,Woman,No answer,Black or African American,No answer,No,Yes,No,No,Yes,No answer,No answer,Important,Important,Very important,Very important,Very important,Neither important nor unimportant,Important,Very important,Very important,Very important,Neither important nor unimportant,Very important,Very important,Very important,Important,Very important,Important,Neither important nor unimportant,Unable to judge,Unable to judge,Strongly Disagree,"Race,Gender,Socioeconomic Status,Other","Greek Life,Student Organizations,Classroom or other academic setting,Internship/Job search,Meeting with administration",Yes,Yes,I met with someone at CAPS and then was referred to an outside care person.,Strongly disagree,Strongly disagree,Agree,Neither agree nor disagree,"CAPS was not prepared to handle my specific need.,Other",No,Yes,No,No,No answer,No answer,Unable to Judge,Unable to Judge,Strongly Disagree,Neither Agree nor Disagree,Disagree,No answer,No answer,No answer,Unable to Judge,Unable to Judge,Neither agree nor disagree,Agree,Unable to judge,Disagree,Strongly disagree,Disagree,Agree,Unable to judge,Yes,No,Yes,2,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Unable to judge,Strongly Disagree,Agree,Between 5-10 hours,No,No,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,Strongly agree,No answer,No answer,No answer,Disagree,Disagree,Base 14 meal plan: allows for 14 meal swiped per week at any all-you-can-eat dining hall +$225 Dining Dollars +3 Guests Passes ($2142 per quarter),Yes,No,Yes,No,Agree
Second year,No,Weinberg,On Campus Residential College,Woman,No answer,Hispanic or Latino,No answer,No,Yes,No,No,Yes,No answer,No answer,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Very important,Unimportant,Very important,Important,Not at all important,Very important,Not at all important,Unimportant,Important,Very important,Important,Unimportant,Disagree,Socioeconomic Status,Classroom or other academic setting,Yes,No,No answer,No answer,No answer,No answer,No answer,No answer,No,No,No answer,No,No answer,Agree,Agree,Disagree,Agree,Agree,Agree,No answer,No answer,No answer,Disagree,Disagree,Agree,Agree,Agree,Disagree,Strongly disagree,Agree,Agree,Unable to judge,No,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,Disagree,No answer,No answer,No,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,Strongly agree,No answer,No answer,No answer,Agree,Agree,No answer,No,No,Yes,No,Disagree
Third year,No,Weinberg,On Campus Residential Hall,Man,No answer,White,No answer,No,Yes,No,No,Yes,No answer,No answer,Unable to judge,Unable to judge,Important,Important,Unable to judge,Unable to judge,Unable to judge,Unable to judge,Very important,Unable to judge,Unable to judge,Unimportant,Important,Important,Unable to judge,Not at all important,Very important,Very important,Very important,Important,Strongly Agree,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,Strongly Agree,Agree,Strongly disagree,Strongly Agree,Agree,Agree,No answer,No answer,No answer,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Unable to judge,Agree,Yes,Yes,Yes,2,Strongly disagree,Agree,Agree,Agree,Agree,Strongly disagree,Unable to Judge,Strongly Disagree,No answer,No answer,No,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,Yes,Yes,Yes,No,Agree
First year,No,School of Communication,On Campus Residential Hall,Woman,No answer,Asian,No answer,No,Yes,No,No,No,No answer,No answer,Important,Important,Very important,Unimportant,Important,Very important,Very important,Important,Important,Important,Important,Very important,Very important,Very important,Very important,Neither important nor unimportant,Important,Important,Unimportant,Neither important nor unimportant,Agree,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,Agree,Agree,No answer,No answer,No answer,No answer,No answer,No answer,Neither agree nor disagree,Agree,Agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Disagree,Disagree,Agree,Agree,No,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,Agree,Between 1-5 hours,No,No,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,Strongly Disagree,No answer,No answer,No answer,Yes,No,Yes,No,Strongly Agree
Fourth year,No,"Weinberg,SESP",Off Campus,Woman,No answer,White,No answer,No,No,No,No,No,No answer,No answer,Very important,Very important,Very important,Unimportant,Important,Important,Very important,Important,Important,Neither important nor unimportant,Unable to judge,Very important,Important,Important,Very important,Unable to judge,Unable to judge,Unable to judge,Neither important nor unimportant,Neither important nor unimportant,Strongly Disagree,"Gender,Religion","Student Organizations,Meeting with administration",Yes,Yes,Other,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Other,Prefer not to answer,Yes,No,Yes,I heard about their services through word of mouth.,Neither agree nor disagree,Agree,Unable to Judge,No answer,No answer,No answer,No answer,No answer,No answer,Strongly agree,Neither agree nor disagree,Agree,Agree,Strongly disagree,Strongly agree,Strongly agree,Disagree,Disagree,Agree,Yes,No,No,No answer,Strongly disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly Agree,Strongly Agree,Between 5-10 hours,Yes,No,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,Strongly agree,No answer,No answer,No answer,No answer,No answer,Yes,Yes,Yes,Yes,Neither Agree nor Disagree
Fourth year,No,Weinberg,Off Campus,Prefer not to answer,No answer,Hispanic or Latino,No answer,Yes,Yes,No,Yes,Yes,Disagree,Neither agree nor disagree,Important,Important,Very important,Important,Very important,Very important,Very important,Very important,Important,Important,Neither important nor unimportant,Very important,Important,Neither important nor unimportant,Important,Important,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Disagree,"Race,Ethnicity","Greek Life,Student Organizations",Yes,Yes,I met with someone at CAPS and then was referred to an outside care person.,Agree,Agree,Disagree,Disagree,No answer,Yes,Yes,No,Prefer not to answer,No answer,Disagree,Neither agree nor disagree,Disagree,Disagree,Agree,Agree,No answer,No answer,No answer,Agree,Strongly agree,Strongly agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Yes,Yes,No,No answer,Strongly agree,Strongly agree,Agree,Agree,Agree,Disagree,Agree,Agree,Between 5-10 hours,Yes,No,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,Strongly agree,Agree,No answer,No answer,No answer,No answer,Yes,No,Yes,Yes,Agree
Fourth year,No,Weinberg,Off Campus,Man,No answer,White,No answer,No,No,No,No,No,No answer,No answer,Not at all important,Not at all important,Unimportant,Very important,Neither important nor unimportant,Not at all important,Not at all important,Not at all important,Important,Important,Not at all important,Neither important nor unimportant,Unimportant,Important,Not at all important,Not at all important,Not at all important,Important,Important,Unimportant,Disagree,"Race,Gender,Sexual Orientation",Student Organizations,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,Disagree,Strongly Agree,Agree,No answer,No answer,No answer,No answer,No answer,No answer,Strongly disagree,Agree,Agree,Agree,Disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,No,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,Strongly Agree,Between 1-5 hours,Yes,No,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,Neither agree nor disagree,No answer,No answer,No answer,No answer,No answer,Yes,No,No,Prefer not to answer,Strongly Disagree
Fourth year,No,McCormick,Off Campus,Man,No answer,Hispanic or Latino,No answer,No,No,No,No,No,No answer,No answer,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Very important,Important,Important,Neither important nor unimportant,Very important,Very important,Important,Important,Neither important nor unimportant,Important,Very important,Unimportant,Neither important nor unimportant,Neither important nor unimportant,Unimportant,Unimportant,Important,Disagree,"Race,Ethnicity",Greek Life,"Maybe, but I am unsure.",No,No answer,No answer,No answer,No answer,No answer,No answer,Yes,No,No answer,No,No answer,No answer,Agree,Neither agree nor disagree,No answer,No answer,No answer,No answer,No answer,No answer,Neither agree nor disagree,Agree,Agree,Strongly agree,Disagree,Agree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,No,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,Strongly Agree,Between 10-15 hours,Yes,Yes,Yes,Less than 5 times per quarter,Neither agree nor disagree,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,No answer,No answer,No answer,No answer,No answer,No answer,No answer,Strongly agree,No answer,No answer,No answer,No answer,No answer,Yes,No,No,Yes,Agree
Third year,No,School of Communication,Off Campus,Woman,No answer,White,No answer,No,Yes,No,Yes,Yes,No answer,No answer,Very important,Important,Very important,Important,Important,Important,Important,Very important,Very important,Unable to judge,Very important,Important,Neither important nor unimportant,Very important,Very important,Very important,Unable to judge,Not at all important,Not at all important,Important,Strongly Disagree,"Gender,Ability Status,Nationality,Socioeconomic Status,Religion","Greek Life,Classroom or other academic setting,Internship/Job search",Yes,Yes,I met with someone at CAPS and then was referred to an outside care person.,Disagree,Agree,Agree,Disagree,No answer,No,Yes,Yes,Yes,Other,No answer,Unable to Judge,Unable to Judge,Strongly Disagree,Agree,Agree,No answer,No answer,No answer,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly agree,Unable to judge,Yes,Yes,Yes,3,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly Disagree,Strongly Agree,More than 20 hours,Yes,No,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,Strongly agree,Strongly agree,No answer,No answer,No answer,No answer,Yes,Yes,Yes,No,Strongly Agree
Third year,No,Weinberg,Off Campus,Man,No answer,White,No answer,No,Prefer not to answer,No,No,No,No answer,No answer,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Very important,Neither important nor unimportant,Unable to judge,Unable to judge,Unable to judge,Very important,Important,Not at all important,Not at all important,Not at all important,Very important,Unable to judge,Unable to judge,Not at all important,Very important,Neither important nor unimportant,Not at all important,Neither agree or disagree,No answer,No answer,No,No,No answer,No answer,No answer,No answer,No answer,No answer,No,No,No answer,No,No answer,Agree,Strongly Agree,Strongly Agree,No answer,No answer,No answer,No answer,No answer,No answer,Disagree,Unable to Judge,Neither agree nor disagree,Strongly agree,Strongly disagree,Agree,Agree,Agree,Agree,Disagree,No,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,Strongly Agree,Between 1-5 hours,Yes,No,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,Strongly agree,No answer,No answer,No answer,No answer,No answer,Yes,No,Yes,No,Strongly Agree
Fourth year,No,Weinberg,Off Campus,Woman,No answer,Black or African American,No answer,No,Yes,No,Yes,Yes,No answer,No answer,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Important,Important,Unimportant,Strongly Disagree,"Race,Gender,Ethnicity,Socioeconomic Status","Student Organizations,Classroom or other academic setting,Internship/Job search,Meeting with administration","Maybe, but I am unsure.",No,No answer,No answer,No answer,No answer,No answer,No answer,No,No,No answer,No,No answer,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,No answer,No answer,No answer,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Disagree,Agree,Strongly agree,Agree,Yes,Yes,No,No answer,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Disagree,Agree,More than 20 hours,No,No,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,Strongly agree,Unable to judge,No answer,No answer,No answer,No answer,Yes,No,Yes,No,Neither Agree nor Disagree
Second year,No,McCormick,On Campus Greek Housing,Man,No answer,White,No answer,No,Yes,No,No,Prefer not to answer,No answer,No answer,Unable to judge,Important,Very important,Very important,Important,Neither important nor unimportant,Neither important nor unimportant,Important,Important,Important,Not at all important,Neither important nor unimportant,Important,Unimportant,Unimportant,Neither important nor unimportant,Neither important nor unimportant,Important,Neither important nor unimportant,Very important,Strongly Agree,No answer,No answer,Yes,Yes,I met with someone at CAPS and then was referred to an outside care person.,Strongly disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,"CAPS was not prepared to handle my specific need.,CAPS staff could not relate to my identities/experiences.,The wait was too long for me to follow through and receive help.",Yes,Prefer not to answer,No answer,No,No answer,No answer,Strongly Agree,Agree,No answer,No answer,No answer,No answer,No answer,No answer,Disagree,Agree,Strongly agree,Strongly agree,Disagree,Neither agree nor disagree,Disagree,Strongly agree,Disagree,Agree,Yes,Yes,No,No answer,Agree,Agree,Agree,Disagree,Strongly disagree,Disagree,Disagree,Agree,Between 10-15 hours,No,No,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,Strongly disagree,No answer,No answer,No answer,Strongly Disagree,Unable to Judge,No answer,Yes,No,Yes,Yes,Agree
Second year,No,Weinberg,On Campus Residential Hall,Woman,No answer,White,No answer,No,No,No,No,No,No answer,No answer,Very important,Important,Very important,Unimportant,Very important,Neither important nor unimportant,Neither important nor unimportant,Important,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Important,Important,Important,Very important,Important,Neither important nor unimportant,Important,Neither important nor unimportant,Neither important nor unimportant,Agree,No answer,No answer,Yes,No,No answer,No answer,No answer,No answer,No answer,No answer,No,Yes,No,No,No answer,Agree,Strongly Agree,Neither agree nor disagree,No answer,No answer,No answer,No answer,No answer,No answer,Disagree,Agree,Agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Agree,Neither agree nor disagree,Strongly agree,Yes,No,No,No answer,Disagree,Agree,Agree,Neither agree nor disagree,Strongly agree,Strongly disagree,Agree,Disagree,No answer,No answer,Yes,Yes,Between 10-15 per quarter,Disagree,Dissatisfied,Satisfied,Neither satisfied nor dissatisfied,Very Important,Very Important,Neither important nor unimportant,Unimportant,Important,Very Important,Strongly disagree,No answer,No answer,No answer,Strongly Disagree,Strongly Disagree,Flex Pack 330: allows for 110 meal swiped per quarter at any all-you-can-eat dining hall + $275 Dining Dollars ($2004 per quarter),Yes,No,Yes,No,Agree
Fourth year,No,Weinberg,Off Campus,Woman,No answer,White,No answer,Yes,Yes,No,No,No,Disagree,Neither agree nor disagree,Very important,Very important,Very important,Important,Important,Important,Very important,Very important,Very important,Very important,Not at all important,Important,Very important,Very important,Very important,Very important,Neither important nor unimportant,Unimportant,Unimportant,Unimportant,Strongly Disagree,"Sexual Orientation,Religion","Greek Life,Student Organizations,Classroom or other academic setting,Internship/Job search,Meeting with administration",Yes,Yes,Other,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,"The wait was too long for me to follow through and receive help.,Other",Yes,Yes,No,No,No answer,Strongly disagree,Agree,Strongly Agree,No answer,No answer,No answer,No answer,No answer,No answer,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Yes,No,Yes,3,Strongly agree,Strongly agree,Disagree,Agree,Agree,Strongly disagree,Strongly Disagree,Strongly Agree,More than 20 hours,Yes,Yes,No,Less than 5 times per quarter,Strongly disagree,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Important,Important,Important,Important,Important,Very unimportant,No answer,Strongly agree,Agree,No answer,No answer,No answer,No answer,Prefer not to answer,No,Yes,No,Disagree
Fourth year,No,School of Communication,Off Campus,Woman,No answer,White,No answer,No,Yes,No,Yes,Yes,No answer,No answer,Unimportant,Unimportant,Important,Neither important nor unimportant,Very important,Important,Important,Very important,Very important,Very important,Neither important nor unimportant,Very important,Very important,Very important,Not at all important,Important,Unimportant,Important,Important,Important,Strongly Disagree,Socioeconomic Status,"Greek Life,Student Organizations,Classroom or other academic setting,Internship/Job search",Yes,No,No answer,No answer,No answer,No answer,No answer,No answer,No,Yes,No,No,No answer,No answer,Agree,Agree,Neither Agree nor Disagree,Disagree,Disagree,No answer,No answer,No answer,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Disagree,Strongly agree,Disagree,Disagree,Strongly agree,No,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,Strongly Agree,Between 15-20 hours,Yes,No,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,Disagree,Agree,No answer,No answer,No answer,No answer,Yes,Yes,Yes,Yes,Strongly Agree
